geo_point_2d;objektkate;objektart;objektname;objektzusa;i_beschr;i_zusinfo;strasse;hausnummer;ort;link;ptl_anschl;p_email;ostwert;hochwert;stadtbeznr;stadtbezbe;statbeznr;statbezibe;ubznr;ubz;sozialrnr;sozialrbe;aktionsrnr;aktionsrbz;kommune
51.53030713992693, 7.456073232945197;XE_SozialEinrichtung;Kindergarten;Kath. Kiga St. Gertrudis;;;;Rückertstraße;4;Dortmund;;;;392905.82499995537;5709929.564999855;20;Innenstadt-Nord;040;Hafen;041;Hafen;021;Hafen;021;Hafen;Dortmund
51.525954732694814, 7.481343463292139;XE_SozialEinrichtung;Kindergarten;EI Die Zwergnasen e.V.;;;;Schlosserstraße;37;Dortmund;;;;394648.54999995866;5709408.86999987;20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz;Dortmund
51.50823914622662, 7.384697118742052;XE_SozialEinrichtung;Kindergarten;Kath. Kiga Hl. Fam.;;;;Schulte-Heuthaus-Straße;30;Dortmund;;;;387900.9499999436;5707582.409999811;7;Lütgendortmund;740;Marten;742;Marten;102;Marten;102;Marten;Dortmund
51.493956608215235, 7.534012960641905;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Schüren;;;;Schürener Straße;61;Dortmund;;;;398230.8499999655;5705775.989999895;4;Aplerbeck;430;Schüren;432;Schüren-Alt;073;Schüren;;;Dortmund
51.51241700074792, 7.563527805401671;XE_SozialEinrichtung;Kindergarten;El Kinderspielhaus Phönix e. V.;;;;Schwarzer Weg;86;Dortmund;;;;400319.9699999691;5707788.269999907;3;Brackel;320;Brackel;328;Funkturmsiedlung;062;Brackel;;;Dortmund
51.50021149232596, 7.415915479322801;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Sengsbank;31;Dortmund;;;;390047.9999999488;5706642.349999833;10;Innenstadt-West;030;Dorstfeld;033;Oberdorstfeld;014;Dorstfeld;014;Dorstfeld;Dortmund
51.54522299491507, 7.531040527094064;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Siegfried-Drupp-Straße;3;Dortmund;;;;398138.9599999652;5711481.229999893;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;;Dortmund
51.49258639673557, 7.587555452998302;XE_SozialEinrichtung;Kindergarten;Caritas-TEK St. Marien;;;;Sölder Straße;146;Dortmund;;;;401944.6699999714;5705550.539999915;4;Aplerbeck;440;Sölde;442;Sölde-Süd;074;Sölde/Sölderholz;;;Dortmund
51.54702823589764, 7.376669964228034;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Speckestraße;15;Dortmund;;;;387439.6199999424;5711908.229999806;9;Mengede;910;Bodelschwingh;910;Bodelschwingh;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde;Dortmund
51.54732197779876, 7.377394927985862;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Speckestraße;17;Dortmund;;;;387490.60999994236;5711939.779999807;9;Mengede;910;Bodelschwingh;910;Bodelschwingh;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde;Dortmund
